gregorian_date,hijri_date,hijri_day,hijri_month_number,hijri_month_en,hijri_month_ar,hijri_year,hijri_weekday_en,hijri_weekday_ar,hijri_designation,holidays
19-07-2025,24-01-1447,24,1,Muḥarram,مُحَرَّم,1447,Al Sabt,السبت,AH,
20-07-2025,25-01-1447,25,1,Muḥarram,مُحَرَّم,1447,Al Ahad,الاحد,AH,Urs of Sayyidina Ali ibn Zayn al-Abidin ق
21-07-2025,26-01-1447,26,1,Muḥarram,مُحَرَّم,1447,Al Athnayn,الاثنين,AH,
22-07-2025,27-01-1447,27,1,Muḥarram,مُحَرَّم,1447,Al Thalaata,الثلاثاء,AH,
23-07-2025,28-01-1447,28,1,Muḥarram,مُحَرَّم,1447,Al Arba'a,الاربعاء,AH,
24-07-2025,29-01-1447,29,1,Muḥarram,مُحَرَّم,1447,Al Khamees,الخميس,AH,
25-07-2025,30-01-1447,30,1,Muḥarram,مُحَرَّم,1447,Al Juma'a,الجمعة,AH,
26-07-2025,01-02-1447,1,2,Ṣafar,صَفَر,1447,Al Sabt,السبت,AH,End of the holy months
27-07-2025,02-02-1447,2,2,Ṣafar,صَفَر,1447,Al Ahad,الاحد,AH,
28-07-2025,03-02-1447,3,2,Ṣafar,صَفَر,1447,Al Athnayn,الاثنين,AH,
29-07-2025,04-02-1447,4,2,Ṣafar,صَفَر,1447,Al Thalaata,الثلاثاء,AH,
30-07-2025,05-02-1447,5,2,Ṣafar,صَفَر,1447,Al Arba'a,الاربعاء,AH,Urs of Shaykh Yaʿqub al-Charkhi (ق)
31-07-2025,06-02-1447,6,2,Ṣafar,صَفَر,1447,Al Khamees,الخميس,AH,
01-08-2025,07-02-1447,7,2,Ṣafar,صَفَر,1447,Al Juma'a,الجمعة,AH,
02-08-2025,08-02-1447,8,2,Ṣafar,صَفَر,1447,Al Sabt,السبت,AH,
03-08-2025,09-02-1447,9,2,Ṣafar,صَفَر,1447,Al Ahad,الاحد,AH,
04-08-2025,10-02-1447,10,2,Ṣafar,صَفَر,1447,Al Athnayn,الاثنين,AH,
05-08-2025,11-02-1447,11,2,Ṣafar,صَفَر,1447,Al Thalaata,الثلاثاء,AH,
06-08-2025,12-02-1447,12,2,Ṣafar,صَفَر,1447,Al Arba'a,الاربعاء,AH,Urs of Shaykh Abdullah Dahlawi (ق)
07-08-2025,13-02-1447,13,2,Ṣafar,صَفَر,1447,Al Khamees,الخميس,AH,
