gregorian_date,hijri_date,hijri_day,hijri_month_number,hijri_month_en,hijri_month_ar,hijri_year,hijri_weekday_en,hijri_weekday_ar,hijri_designation,holidays
19-07-0622,01-01-1,1,1,Muḥarram,مُحَرَّم,1,Al Juma'a,الجمعة,AH,Birth of Khas Muhammad ash-Shirwani ق
20-07-0622,02-01-1,2,1,Muḥarram,مُحَرَّم,1,Al Sabt,السبت,AH,
21-07-0622,03-01-1,3,1,Muḥarram,مُحَرَّم,1,Al Ahad,الاحد,AH,
22-07-0622,04-01-1,4,1,Muḥarram,مُحَرَّم,1,Al Athnayn,الاثنين,AH,
23-07-0622,05-01-1,5,1,Muḥarram,مُحَرَّم,1,Al Thalaata,الثلاثاء,AH,
24-07-0622,06-01-1,6,1,Muḥarram,مُحَرَّم,1,Al Arba'a,الاربعاء,AH,
25-07-0622,07-01-1,7,1,Muḥarram,مُحَرَّم,1,Al Khamees,الخميس,AH,
26-07-0622,08-01-1,8,1,Muḥarram,مُحَرَّم,1,Al Juma'a,الجمعة,AH,
27-07-0622,09-01-1,9,1,Muḥarram,مُحَرَّم,1,Al Sabt,السبت,AH,Urs of Sayyidina Qāsim ibn Muḥammad ibn Abī Bakr ق
28-07-0622,10-01-1,10,1,Muḥarram,مُحَرَّم,1,Al Ahad,الاحد,AH,Ashura; Urs of Shaykh Shamsuddin Habīb Allah ق; Urs of Shaykh Abū al‑Hassan al‑Kharqāni ق; Birth of Imam Rābbani Ahmad Al-Fāruqi As-Sirhindi ق
29-07-0622,11-01-1,11,1,Muḥarram,مُحَرَّم,1,Al Athnayn,الاثنين,AH,
30-07-0622,12-01-1,12,1,Muḥarram,مُحَرَّم,1,Al Thalaata,الثلاثاء,AH,
31-07-0622,13-01-1,13,1,Muḥarram,مُحَرَّم,1,Al Arba'a,الاربعاء,AH,
01-08-0622,14-01-1,14,1,Muḥarram,مُحَرَّم,1,Al Khamees,الخميس,AH,Birth of Khwaja Bahauddin Shah Naqshband ق
02-08-0622,15-01-1,15,1,Muḥarram,مُحَرَّم,1,Al Juma'a,الجمعة,AH,
03-08-0622,16-01-1,16,1,Muḥarram,مُحَرَّم,1,Al Sabt,السبت,AH,Birth of Shaykh Jamaluddin al-Ghumuqi al-Husayni ق
04-08-0622,17-01-1,17,1,Muḥarram,مُحَرَّم,1,Al Ahad,الاحد,AH,Urs of Shaykh Muhammad Effendi al‑Yaraghi ق
05-08-0622,18-01-1,18,1,Muḥarram,مُحَرَّم,1,Al Athnayn,الاثنين,AH,
06-08-0622,19-01-1,19,1,Muḥarram,مُحَرَّم,1,Al Thalaata,الثلاثاء,AH,Urs of Shaykh Darwish Muhammad ق
07-08-0622,20-01-1,20,1,Muḥarram,مُحَرَّم,1,Al Arba'a,الاربعاء,AH,
